Molecule smiles gap(eV)
oF2 FC1=C(F)C=CC=C1 6.216
pF2 FC1=CC=C(F)C=C1 5.868
SymF3 FC1=CC(F)=CC(F)=C1 6.604
pF4 FC1=C(F)C=C(F)C(F)=C1 5.856
PhCl ClC1=CC=CC=C1 6.137
oCl2 ClC1=C(Cl)C=CC=C1 5.961
pCl2 ClC1=CC=C(Cl)C=C1 5.753
SymCl3 ClC1=CC(Cl)=CC(Cl)=C1 6.004
pCl4 ClC1=C(Cl)C=C(Cl)C(Cl)=C1 5.496
DiCH2 C=C1C=CC(=C)C=C1 3.72
DiCCN2 N#CC(C#N)=C1C=CC(=C(C#N)C#N)C=C1 2.515
PhCN N#CC1=CC=CC=C1 5.754
oCN2 N#CC1=C(C#N)C=CC=C1 5.349
pCN2 N#CC1=CC=C(C#N)C=C1 5.134
PhOH OC1=CC=CC=C1 5.824
oHQ OC1=C(O)C=CC=C1 5.696
pHQ OC1=CC=C(O)C=C1 5.179
SymOH3 OC1=CC(O)=CC(O)=C1 6.288
PhOMe COC1=CC=CC=C1 5.785
pDiOMe COC1=CC=C(OC)C=C1 5.159
PhenylAcetate CC(=O)OC1=CC=CC=C1 6.159
PhenylDiAcetate CC(=O)OC1=CC=C(OC(C)=O)C=C1 5.833
oQ O=C1C=CC=CC1=O 3.175
pQ O=C1C=CC(=O)C=C1 3.84
Formyl O=CC1=CC=CC=C1 5.151
pDiFormyl O=CC1=CC=C(C=O)C=C1 4.55
Acetal CC(=O)C1=CC=CC=C1 5.179
pDiAcetal CC(=O)C1=CC=C(C(C)=O)C=C1 4.649
Benzoic O=C(O)C1=CC=CC=C1 5.672
H2BDC O=C(O)C1=CC=C(C(=O)O)C=C1 5.172
COOMe COC(=O)C1=CC=CC=C1 5.718
pDiCOOMe COC(=O)C1=CC=C(C(=O)OC)C=C1 5.229
COCl O=C(Cl)C1=CC=CC=C1 5.327
pDiCOCl O=C(Cl)C1=CC=C(C(=O)Cl)C=C1 4.817
CONH2 NC(=O)C1=CC=CC=C1 5.674
pDiCONH2 NC(=O)C1=CC=C(C(N)=O)C=C1 5.185
pDiCO O=C=C1C=CC(=C=O)C=C1 3.352
Pyridine C1=CC=NC=C1 6.124
oDiN C1=CC=NN=C1 4.895
pDiN C1=CN=CC=N1 5.316
mDiN C1=CN=CN=C1 5.684
Triazine C1=NC=NC=N1 5.975
Ani NC1=CC=CC=C1 5.466
pDiNH2 NC1=CC=C(N)C=C1 4.746
Hydrazine NNC1=CC=CC=C1 5.443
pDiHydrazine NNC1=CC=C(NN)C=C1 4.784
NHOH ONC1=CC=CC=C1 5.602
pDiNHOH ONC1=CC=C(NO)C=C1 4.992
Acetamide CC(=O)NC1=CC=CC=C1 5.584
pDiAcetamide CC(=O)NC1=CC=C(NC(C)=O)C=C1 4.991
AzoH N=NC1=CC=CC=C1 4.353
pDiAzoH N=NC1=CC=C(N=N)C=C1 3.839
Nitroso O=NC1=CC=CC=C1 3.266
pDiNitroso O=NC1=CC=C(N=O)C=C1 2.693
Nitro O=[N+]([O-])C1=CC=CC=C1 5.047
oDiNitro O=[N+]([O-])C1=CC=CC=C1[N+](=O)[O-] 4.845
mDiNitro O=[N+]([O-])C1=CC=CC([N+](=O)[O-])=C1 5.17
pDiNitro O=[N+]([O-])C1=CC=C([N+](=O)[O-])C=C1 4.745
DPA C1=CC=C(NC2=CC=CC=C2)C=C1 4.808
TPA C1=CC=C(N(C2=CC=CC=C2)C2=CC=CC=C2)C=C1 4.387
DiphenylMethane C1=CC=C(CC2=CC=CC=C2)C=C1 6.007
Ph2O C1=CC=C(OC2=CC=CC=C2)C=C1 5.443
NQ O=C1C=CC(=O)C2=C1C=CC=C2 4
AQ O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2 4.178
PhenQ O=C1C(=O)C2=C(C=CC=C2)C2=C1C=CC=C2 3.539
BiphQ O=C1C=CC(=C2C=CC(=O)C=C2)C=C1 2.73
Cp C1=CCC=C1 5.384
Pyrrole C1=CNC=C1 6.638
Furan C1=COC=C1 6.417
Thiophene C1=CSC=C1 5.997
BCp C1=CC2=CC=CC=C2C1 5.19
BPyrrole C1=CC=C2NC=CC2=C1 5.199
BFuran C1=CC=C2OC=CC2=C1 5.394
BThiophene C1=CC=C2SC=CC2=C1 5.108
DBCp C1=CC=C2C(=C1)CC1=C2C=CC=C1 4.925
Car C1=CC=C2C(=C1)NC1=C2C=CC=C1 4.668
DBFuran C1=CC=C2C(=C1)OC1=C2C=CC=C1 4.952
DBT C1=CC=C2C(=C1)SC1=C2C=CC=C1 4.709
CpO O=C1C=CC=C1 3.856
BCpO O=C1C=CC2=CC=CC=C12 3.889
DBCpO O=C1C2=CC=CC=C2C2=C1C=CC=C2 3.921
TO O=S1C=CC=C1 4.299
TO2 O=S1(=O)C=CC=C1 4.746
BTO O=S1C=CC2=CC=CC=C21 4.345
BTO2 O=S1(=O)C=CC2=CC=CC=C21 4.736
DBTO O=S1C2=CC=CC=C2C2=C1C=CC=C2 4.514
DBTO2 O=S1(=O)C2=CC=CC=C2C2=C1C=CC=C2 4.763
PyO ON1C=CCC=C1 4.67
TEMPO CC1(C)CCCC(C)(C)N1O 3.817
TEMPOH CC1(C)CCCC(C)(C)N1O 6.504
Indantrione O=C1C(=O)C2=CC=CC=C2C1=O 3.013
Ph2CO O=C(C1=CC=CC=C1)C1=CC=CC=C1 4.863
Fc C1=C[CH-]C=C1.C1=C[CH-]C=C1.[Fe+2] 5.373
CrPhH2 C1=CC=CC=C1.C1=CC=CC=C1.[Cr] 4.083
oBDCAnhydride O=C1OC(=O)C2=CC=CC=C12 5.313
AminoQ NC1=CC(=O)C=CC1=O 3.252
AminoNQ NC1=CC(=O)C2=C(C=CC=C2)C1=O 3.463
AminoAQ NC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 3.158
Imine C(=N/C1=CC=CC=C1)C1=CC=CC=C1 4.263
Amide O=C(NC1=CC=CC=C1)C1=CC=CC=C1 4.677
Azo C1=CC=C(/N=N/C2=CC=CC=C2)C=C1 3.912
Boronic_ester C1=CC=C(B2OC3=CC=CC=C3O2)C=C1 5.065
CNCC N#C/C(=CC1=CC=CC=C1)C1=CC=CC=C1 3.921
Imide O=C1C2=CC=CC=C2C(=O)N1C1=CC=CC=C1 4.074
Dioxin C1=CC2=C(C=C1)OC1=C(C=CC=C1)O2 4.891
Phenazine C1=CC2=C(C=C1)N=C1C=CC=CC1=N2 3.596
oNitroAni NC1=C([N+](=O)[O-])C=CC=C1 3.818
pNitroAni N[C@H]1C=C[C@H]([N+](=O)[O-])C=C1 4.211
oCyanoAni N#CC1=C(N)C=CC=C1 4.799
pCyanoAni N#C[C@H]1C=C[C@H](N)C=C1 5.109
oNitroPhenol O=[N+]([O-])C1=CC=CC=C1O 4.026
pNitroPhenol O=[N+]([O-])C1=CC=C(O)C=C1 4.612
oCyanoPhenol N#CC1=CC=CC=C1O 5.176
pCyanoPhenol N#CC1=CC=C(O)C=C1 5.445
Benzoate O=C([O-])C1=CC=CC=C1 5.912
HBDC O=C([O-])C1=CC=C(C(=O)O)C=C1 4.867
AniH [NH3+]C1=CC=CC=C1 6.607
DABH NC1=CC=C([NH3+])C=C1 5.111
AminoBenzoic NC1=CC=C(C(=O)O)C=C1 4.94
AminoBenzoic_Zwitter [NH3+]C1=CC=C(C(=O)[O-])C=C1 5.615
oNitroBiphAni NC1=CC=C(C2=CC=CC=C2)C=C1[N+](=O)[O-] 3.461
pNitroBiphAni NC1=CC=C(C2=CC=C([N+](=O)[O-])C=C2)C=C1 3.395
oCyanoBiphAni N#CC1=CC(C2=CC=CC=C2)=CC=C1N 4.451
pCyanoBiphAni N#CC1=CC=C(C2=CC=C(N)C=C2)C=C1 4.138
oNitroBiphPhenol O=[N+]([O-])C1=CC(C2=CC=CC=C2)=CC=C1O 3.476
pNitroBiphPhenol O=[N+]([O-])C1=CC=C(C2=CC=C(O)C=C2)C=C1 3.739
oCynaoBiphPhenol N#CC1=CC(C2=CC=CC=C2)=CC=C1O 4.654
pCynaoBiphPhenol N#CC1=CC=C(C2=CC=C(O)C=C2)C=C1 4.446
pBiphAni NC1=CC=C(C2=CC=CC=C2)C=C1 4.751
AminoNaph NC1=CC=CC2=C1C=CC=C2 4.303
oNitroAminoNaph NC1=C([N+](=O)[O-])C=CC2=C1C=CC=C2 3.546
pNitroAminoNaph NC1=CC=C([N+](=O)[O-])C2=C1C=CC=C2 3.679
oCyanoAminoNaph N#CC1=C(N)C2=C(C=CC=C2)C=C1 4.14
pCyanoAminoNaph N#CC1=CC=C(N)C2=C1C=CC=C2 4.079
oNitroHydroxyNaph O=[N+]([O-])C1=C(O)C2=C(C=CC=C2)C=C1 3.533
pNitroHydroxyNaph O=[N+]([O-])C1=CC=C(O)C2=C1C=CC=C2 3.805
oCyanoHydroxyNaph N#CC1=C(O)C2=C(C=CC=C2)C=C1 4.359
pCyanoHydroxyNaph N#CC1=CC=C(O)C2=C1C=CC=C2 4.304
Q_C_H2 O=C1C=CC(=O)CC1 4.403
pDiNH N=C1C=CC(=N)C=C1 4.302
Q_C_H4 O=C1CCC(=O)CC1 5.813
C=CC#N C=CC#N 6.208
C=C(C#N)C#N C=C(C#N)C#N 5.553
Dicyanoethylene N#C/C=C/C#N 5.235
CyanoStyrene C=C(C#N)C1=CC=CC=C1 4.738
CyanopDiCH2 N#C/C=C/C1=CC=CC=C1 4.492
DiCyanopDiCH2 C=C1C=CC(=C(C#N)C#N)C=C1 3.053
DiCyanopDiCH2 N#CC=C1C=CC(=CC#N)C=C1 2.997
Acrolein C=CC=O 5.17
Vinylacrolein C=CC(=O)C=C 5.061
O=C1CC=CC=C1 O=C1C=CC=CC1 3.9
O=C1OC=CC=C1 O=C1C=CC=CO1 4.299
LiH [LiH] 3.998
LiCl [Li]Cl 5.056
Li2 [Li][Li] 2.243
BeCl2 Cl[Be]Cl 8.486
BeH2 [BeH2] 7.663
BeHCl [BeH]Cl 8.707
Be [Be] 4.975
BH3 B 7.508
B2H6 B.B 7.914
BF3 FB(F)F 11.929
H3BO3 OB(O)O 9.186
Na2 [Na][Na] 2.062
NaH [NaH] 3.496
NaCl [Na]Cl 4.182
Mg [Mg] 4.529
MgH2 [MgH2] 6.289
MgHCl [MgH]Cl 6.822
MgCl2 Cl[Mg]Cl 6.536
MeMgCl C[Mg]Cl 6.028
Al2 [Al][Al] 0.734
AlH3 [AlH3] 6.408
AlCl3 Cl[Al](Cl)Cl 7.436
Al2Cl6 Cl[Al]1(Cl)<-Cl[Al](Cl)(Cl)<-Cl1 7.846
SiH4 [SiH4] 10.497
SiF4 F[Si](F)(F)F 12.35
SiCl4 Cl[Si](Cl)(Cl)Cl 6.516
Si2Me4 C[Si](C)=[Si](C)C 3.6
C2Me4 CC(C)=C(C)C 6.203
TiH4 [TiH4] 6.343
TiF4 F[Ti](F)(F)F 6.672
TiCl4 Cl[Ti](Cl)(Cl)Cl 4.493
Ti2Me4 C[Ti](C)[Ti](C)C 1.935
