Name,smiles
Molecule_164,Cc1cc([C@@H]2C[C@@H](C)CN2C)on1
Molecule_165,CC(C)=CC[C@@H](OC(=O)C(c1ccccc1)c1ccccc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O
Molecule_166,CC[C@@H](c1ccc(O)cc1)[C@H](Cn1cc(C(=O)O)c(=O)[nH]1)c1ccc(O)cc1
Molecule_167,O=C(/C=C/c1ccccc1)c1cc2ccccc2s1
Molecule_168,C/C=C(\NC(=O)C1C(C)C1(C)C)C(=O)O
Molecule_169,C#CC(C)(O)CC
Molecule_170,CC(=O)Nc1ccc(N(CCCl)CCCl)cc1
Molecule_171,Cc1cccc(C(=O)NCCCCCCCC(=O)O)c1O
Molecule_172,CCCCCCCCCCCC(=O)Nc1cc(C(C)(C)C)cc(C(C)(C)C)c1O
Molecule_173,CCO/N=C1\C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)CC/C(=N\OCCN)C[C@H]12
Molecule_174,O=C1CCCCCCC1
Molecule_175,O=C1c2ccc(Br)cc2C(=O)N1c1ccc(O)cc1
Molecule_176,C[C@@]1(N2C(=O)c3cccc(N)c3C2=O)CCC(=O)NC1=O
Molecule_177,CN1CCC2(CC1)OC(=S)N(C(C)(C)C)C2=O
Molecule_178,O=Cc1cnc2ccccc2c1
Molecule_179,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC(C)NC(C)C3)c(F)c21
Molecule_180,O=C1C[C@H]2O/C(=C\CO)[C@H](CO)N12
Molecule_181,Nc1nc(N)c2nc(CCSc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1
Molecule_182,O=C1C2C=Nc3ccccc3C2=NN1c1ccc(Cl)cc1
Molecule_183,CCC(=O)c1ccc2c(c1)sc(=O)n2CCN1CCOCC1
Molecule_184,C#Cc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1
Molecule_185,O=C(O)CCCCCCCCCCCNC(=O)C/C=C/c1ccccc1
Molecule_186,Fc1ccc(CNC2CCCn3nc(COc4ccccc4)cc32)cc1
Molecule_187,N=C(N)c1ccc(CNC(=O)C2CCC=C2C(=O)NCc2ccccc2)cc1
Molecule_188,CCCc1c(OCCCOc2cccc(NC(=O)CCC(=O)OCC)c2C#N)ccc(C(C)=O)c1O
Molecule_189,CC12CCC(C1)C(C)(C)C2OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccc(O)cc1
Molecule_190,CCCCn1c(C)c(C(=O)NCCC(=O)O)s/c1=N\C(=O)c1ccc(C(=N)N)cc1
Molecule_191,Brc1ccc(C2CC(c3ccccc3)=NN2c2ccccc2)cc1
Molecule_192,COc1cccc(S(=O)(=O)Nc2cccn(CC(=O)NCc3nc(C(=N)N)cs3)c2=O)c1
Molecule_193,NS(=O)(=O)c1cccc(NSC(=S)N2CCOCC2)c1
Molecule_194,C1=Cc2c([nH]c3ccccc23)CN1
Molecule_195,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](COc4ccc(CN)cc4)C3)[C@H](C)[C@H]12
Molecule_196,CN(C)CCn1c(=O)oc2cc(C(=O)c3ccccc3)ccc21
Molecule_197,CO[C@@H]1O[C@H](CO)[C@H](O)[C@@H](Nc2cccc(C)c2)[C@H]1O
Molecule_198,Cc1cc(Br)cc(C)c1C/N=c1\c(O)c(O)\c1=N/C(C)(C)C
Molecule_199,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccn2)cc1
Molecule_200,O=c1cc(CN2CCNCC2)nc2ccccn12
Molecule_201,Nc1nc(N)c2nc(CN3CCSc4cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc43)cnc2n1
Molecule_202,Nn1c(SCCCN2CCN(c3ncccn3)CC2)nc2sccc2c1=O
